CODEINSEE0;CODEINTERNE1;Observation2;Année3;"MontantTitre"4;"MontantconventionAnnéeN"5;"MontantAnnexe2"6;type7;"dated'envoicollectivitépoursignature"8;dateretour9;datesignaturedelaconvention10;"dated'envoicollectivitésigné"11;"RévisionEnvoi"12;RévisionRetour13;EnvoiRPQS14;RetourRPQS15;"MandatRPQS"16;nødetitre17;"dateémissiontitre"18;"EnvoiAnnexe2marché"19;"RetourAnnexe2signee"20;"MandatSPAC"21;DateArrˆtéDUP22
245501457;A65;;2015;275;275;0;20;14/11/14;26/11/14;02/12/14;08/12/14;;;;;0;1962;12/05/15;;;0;;;
245501457;A66;Fusion…/cdu1/1/17;2016;1032;1032;0;20;21/01/16;29/01/16;06/02/16;09/02/16;;;;;0;1364;14/04/16;;;0;;;
245501457;A67;Contrôle;2012;1076.4;1076.4;0;21;13/06/12;29/10/12;07/11/12;09/11/12;;;;;0;6434;20/08/13;;;0;;;
245501457;A68;Vidange;2012;1076.4;1076.4;0;21;13/06/12;05/09/12;21/09/12;24/09/12;;;;;0;6433;20/08/13;;;0;;;
245501457;A69;Contrôle;2014;1262;1262;0;21;18/07/14;20/11/14;26/11/14;28/11/14;;;;;0;82;27/01/15;;;0;;;
245501457;A70;Vidange;2014;1262;1262;0;21;18/07/14;20/11/14;26/11/14;28/11/14;;;;;0;81;27/01/15;;;0;;;
245501366;A71;ANC;2010;1017.6;1017.6;0;21;04/01/11;12/01/11;18/01/11;21/01/11;;;;;0;126;01/02/11;;;0;;;
245501366;A72;MOE11;2011;1017.6;1017.6;0;21;14/01/11;07/03/11;31/03/11;07/04/11;;;;;0;2703;12/07/11;;;0;;;
200034874;A73;ANC;2011;930.2;930.2;0;21;08/03/11;29/04/11;11/05/11;16/05/11;;;;;0;3764;04/10/11;;;0;;;
245501184;A74;ANC;2010;1326;1326;0;21;09/09/10;25/02/11;08/03/11;08/03/11;;;;;0;1380;15/04/11;;;0;;;
245501184;A75;MOE10;2010;1326;1326;0;21;10/02/10;22/02/10;22/03/10;25/03/10;;;;;0;5144;31/12/10;;;0;;;
55142;A76;Annulation367du11/10/12;2012;250;250;323.37;17;12/01/12;30/03/12;04/04/12;06/04/12;;;;;0;1980;05/06/12;12/01/12;30/03/12;0;;;
55142;A76;;2013;406.8;275;131.8;17;;;;;14/01/13;;11/01/13;25/01/13;1;3038;31/05/13;15/04/13;02/05/13;0;;;
55142;A76;;2014;275;275;0;17;;;;;03/12/13;12/12/13;22/01/14;27/03/14;1;801;21/03/14;;;0;;;
55142;A77;;2015;412.28;275;137.28;18;02/12/14;15/12/14;22/12/14;24/12/14;;;04/03/16;;1;1754;01/05/15;22/12/14;03/03/15;1;;;
55142;A77;;2016;275;275;0;18;;;;;16/11/15;30/11/15;24/02/17;;1;726;16/03/16;;;1;;;
55142;A77;;2017;0;275;143.05;18;;;;;25/10/16;02/11/16;;;1;;;30/01/17;06/02/17;1;;;
55145;A78;;2009;429;429;0;21;10/04/09;28/04/09;07/05/09;12/05/09;;;;;0;1669;18/05/09;;;0;;;
55145;A80;;2013;889.51;560;329.51;17;22/04/13;25/04/13;13/05/13;15/05/13;;;07/02/13;12/03/13;0;3036;31/05/13;07/02/13;25/04/13;0;;;
55145;A80;;2014;901.75;560;341.75;17;;;;;11/12/13;;22/01/14;;0;776;21/03/14;14/01/14;21/01/14;0;;;
55145;A81;;2015;833.2;490;343.2;17;26/11/14;01/12/14;05/12/14;10/12/14;;;;;0;1622;29/04/15;10/12/14;16/02/15;1;;;
55145;A81;SEMangiennesau1/1/17;2016;840.93;490;350.93;17;;;;;16/11/15;10/12/15;04/03/16;;0;727;16/03/16;16/11/15;10/12/15;1;;;
55159;A82;Groupement;2013;742.45;742.45;;21;07/06/13;21/06/13;27/06/13;04/07/13;;;;;0;8301;24/12/13;;;0;;;
55181;A83;;2009;2763;2763;;17;08/06/09;18/06/09;29/07/09;04/08/09;;;;;0;4264;25/11/09;15/02/10;;0;;;
55181;A83;;2010;2763;2763;0;17;;;;;;;;;0;1791;26/05/10;;;0;;;
55181;A83;;2011;2763;2763;0;17;;;;;;;;;0;2584;11/07/11;;;0;;;
55181;A84;;2012;2763;2763;;17;16/11/11;21/11/11;12/12/11;12/12/11;;;;;0;2185;08/06/12;;;0;;;
55181;A84;;2013;2947.2;2947.2;0;17;;;;;14/01/13;;11/01/13;;0;1724;18/04/13;;;0;;;
55181;A84;;2014;2947.2;2947.2;0;17;;;;;03/12/13;17/12/13;22/01/14;;0;770;21/03/14;;;0;;;
55181;A85;;2016;0;1135.7;;21;05/07/16;21/07/16;28/07/16;01/08/16;;;;;0;;;;;0;;;
55181;A86;;2015;2635.5;2635.5;0;18;25/11/14;01/12/14;05/12/14;10/12/14;;;;;0;1638;29/04/15;;;0;;;
55181;A86;;2016;2635.5;2635.5;0;18;;;;;16/11/15;23/11/15;04/03/16;;0;725;16/03/16;;;0;;;
55181;A86;PasintéresséparRPQS;2017;0;2635.5;;18;;;;;25/10/16;03/11/16;;;0;;;;;0;;;
55181;A87;2eprogramme;2014;1137.9;1137.9;;21;01/07/14;07/07/14;15/07/14;16/07/14;;;;;0;423;17/02/15;;;0;;;
55184;A88;;2010;681.25;681.25;;21;09/09/10;16/09/10;27/09/10;30/09/10;;;;;0;464;23/02/11;;;0;;;
55184;A89;;2011;2246.02;1263.75;982.27;17;04/01/11;20/01/11;28/01/11;02/02/11;;;;;0;2600;11/07/11;04/01/11;20/01/11;0;;;
55184;A89;;2012;1910.5;1263.75;646.75;17;;;;;11/01/12;;;;0;2186;08/06/12;30/12/11;09/01/12;0;;;
55184;A89;;2013;2336.54;1348;988.54;17;;;;;14/01/13;;11/01/13;13/02/13;1;1725;18/04/13;22/01/13;04/02/13;0;;;
55184;A90;;2014;2031.5;1348;683.5;17;21/10/13;23/01/14;28/01/14;29/01/14;;;11/02/14;20/03/14;1;1087;03/04/14;11/02/14;17/03/14;0;;;
55184;A91;;2015;2361.6;1332;1029.6;19;03/12/14;11/12/14;22/12/14;24/12/14;;;04/03/16;09/05/16;1;1637;29/04/15;16/12/14;24/12/14;1;;;
55184;A91;;2016;2033.87;1332;701.87;19;28/07/16;08/08/16;;;11/12/15;31/12/15;24/02/17;28/04/17;1;3470;27/09/15;11/12/15;31/12/15;1;;;
