0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
SIAEP PAYS DE MONTFAUCON D'ARGONNE;84;255502379;RESEAU FORAGES DE CUISY;;0;;55000;87;;522;55001081;;217796;0;0;49.05;0;5.5;0;0;0.38;0;0;0;98095;45;6.69;5.48;1.56;2.05;99;100;;11;0;0;;90.90909091;7.7;0;7.52;31.4;30.9;31.15;36.7;34.3;35.5;1.9;0;0.42;17.6;4;10.8;0.023;0;;;
SIAEP PIERREPONT (54);84;55000;SIAEP PIERREPONT (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP PIERREPONT (55);83;55000;LES SEPT FONTAINES;00886X1001;85;;55000;87;;0;;Saint Pierrevillers, Arrancy sur Crusnes;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;0;1;0
SIAEP PIERREPONT (55);84;55000;SIAEP PIERREPONT (55);;0;;55000;87;;639;55000181;;;;;;;;;;;;;;;;;;;;98;0;;18;0;0;;100;7.9;0;7.727;24.9;21.4;23.5;30.5;26.8;28.933;0.2;0;0.09;21.3;18.8;20.067;0.065;0;;;
SIAEP REGION D'ECHENAY (52);84;255200206;SIAEP REGION D'ECHENAY (52);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP REGION D'ECHENAY (55);83;255200206;FORAGE F2 SDT D'ECHENAY;X;86;;55000;89;05/12/2008;0;;Bure, Mandres en Barrois;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;225
SIAEP REGION D'ECHENAY (55);83;255200206;PUITS SDT D'ECHENAY;X;86;;55000;89;05/12/2008;0;;Bure, Mandres en Barrois;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;0
SIAEP REGION D'ECHENAY (55);84;255200206;BURE-MANDRES;;0;;55000;87;;219;55000178;;;;;;;;;;;;;;;;;;;;98;100;par coagulation, décantation, filtration sur sable, filtration sur charbon actif en grain;12;0;0;;100;7.6;0;7.55;28.1;27.3;27.7;32;31.7;31.85;0;0;0;32.1;18.7;26.5;0;0;;;
SIAEP SAINTE LIBAIRE;83;255501884;GRAND PRE;02664X0005;86;;55000;89;23/01/1997;0;;Burey en vaux, Epiez sur Meuse, Neuville les Vaucouleurs;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;408
SIAEP SAINTE LIBAIRE;84;255501884;SIAEP SAINTE LIBAIRE;;0;;55000;87;;365;55001105;;;;;;;;;;;;;;;;;;;;99;0;;6;0;0;;100;7.5;0;7.47;24.2;23.6;23.833;29.5;26.3;27.467;0;0;0;16.6;12;14.867;0.033;0;;;
SIAEP SIVRY LA PERCHE;83;255500845;FORAGE D115;01357X0003;86;SIVRY-LA-PERCHE;55489;89;01/07/2016;0;;Bethelainville, Fromereville les Vallons, Nixéville-Blercourt, Sivry la Perche, Souhesmes-Rampont;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1546
SIAEP SIVRY LA PERCHE;84;255500845;NIXEVILLE-ZI DES SOUHESMES;;0;;55000;87;;310;55001491;;;;;;;;;;;;;;;;;;;;99;100;;53;0;0;;100;7.7;0;7.47;23.9;21.3;23.042;32.1;26.7;27.808;0.1;0;0.03;14.2;9.1;11.45;0.05;0;;;
SIAEP SIVRY LA PERCHE;84;255500845;SIAEP DE SIVRY LA PERCHE;;0;;55000;87;;1143;55000098;;;;;;;;;;;;;;;;;;;;99;100;;15;0;0;;100;7.7;0;7.51;30.6;29.9;30.2;35.1;33.9;34.375;0.2;0;0.08;16.2;14.8;15.2;0.004;0;;;
SIAEP TAILLANCOURT-MONTBRAS;83;255502148;LA PATURE;02664X0029;86;;55000;89;11/12/2003;0;;Montbras, Taillancourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;186
SIAEP TAILLANCOURT-MONTBRAS;84;255502148;SIAEP TAILLANCOURT-MONTBRAS;;0;;55000;87;;174;55001220;;;;;;;;;;;;;;;;;;;;99;0;;5;0;0;;100;7.7;0;7.67;18.9;18.8;18.85;20.8;20.4;20.6;0.9;0.2;0.47;0.6;0;0.367;0;0;;;
SIAEP TILLY - VILLERS;83;255500993;PUITS ALLUVIAL A VILLERS/MEUSE;01625X0003;86;VILLERS-SUR-MEUSE;55566;88;;0;;Tilly sur Meuse, Villers sur Meuse;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP TILLY - VILLERS;84;255500993;SIAEP TILLY-VILLERS;;0;;55000;87;;538;55000036;;;;;;;;;;;;;;;;;;;;99;0;;7;0;0;;100;7.5;0;7.43;22.5;22.3;22.4;27.4;26.7;27.1;0;0;0;42.2;33;36.775;0.042;0;;;
SIAEP TREVERAY-SAINT JOIRE;83;245501283;FORAGE PROFOND;02285X0039;86;;55000;89;01/12/2005;0;;Tréveray, Saint Joire;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;877
SIAEP TREVERAY-SAINT JOIRE;84;245501283;SIAEP TREVERAY-SAINT JOIRE;;0;;55000;87;;880;55001114;;50801;0;0;9.5;0;0;0;0;0.38;0;40;160;35111;70;4.47;10.18;2.1;2.48;99;100;;10;0;0;;100;7.7;0;7.53;27.9;23.2;25.6;28.8;25.2;27.267;0.2;0;0.03;15.7;4.1;9.575;0.007;0;;;
SIAEP VAUDEVILLE-LES ROISES (55);83;245501358;FORAGE SDT VAUDEVILLE;02667X0015;86;;55000;89;10/08/1993;0;;Vaudeville, Les Roises, Seraumont (88), Vouthons haut, Vouthons bas;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;247
SIAEP VAUDEVILLE-LES ROISES (55);84;245501358;SERAUMONT (88);;0;;55000;87;;0;;;41789;0;17369;10.2;1;0;0;0.274;0.363;0;0;50;20298;90;1.09;10.13;2.06;2.7;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP VAUDEVILLE-LES ROISES (55);84;245501358;SIAEP VAUDEVILLE (55);;0;;55000;87;;102;55000176;;41789;0;17369;10.2;1;0;0;0.274;0.363;0;0;50;20298;90;1.09;10.13;2.06;2.7;99;0;;7;0;0;;100;7.5;0;7.4;25.5;23.2;24.35;25.8;24.1;24.95;0.2;0;0.04;1.4;0.9;1.15;0;0;;;
SIAEP VILLOTTE SUR AIRE;83;255501819;FORAGE DE VILLOTTE SUR AIRE;01918X0001;86;VILLOTTE-SUR-AIRE;55570;88;;0;;Villotte sur Aire, Gimécourt, Ville devant Belrain;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP VILLOTTE SUR AIRE;84;255501819;SIAEP DE VILLOTTE SUR AIRE;;0;;55000;87;;243;55001133;;48573;0;0;10.99;0;0;0;0.38;0.062;0;30;1025;45060;95;0.61;11.5;1.15;1.59;99;100;;6;0;0;;100;7.6;0;7.57;28.7;27.8;28.2;31.8;31.3;31.533;0.1;0;0.03;29;24.5;26.2;0.039;0;;;
SIVOM DES 4 CANTONS;83;245501093;SOURCE DE RUPT;02275X0026;85;RUPT-AUX-NONAINS;55447;88;;0;;Aulnois en perthois, Baudonvillers, Bazincourt sur saulx, Bouchon sur saulx, Brauvilliers, Cousances-les-forges, Dammarie sur saulx, Fouchèresaux Bois, Juvigny en perthois, Lavincourt, Maulan, Menils sur saulx, montplonne, Morley, Nant le petit, Rupt aux nonains, Savonnières en Perthois, Sommelonne, Stainville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIVOM DES 4 CANTONS;84;245501093;NARCY (52);;0;;55000;87;;0;;;369075;0;0;142;4.5;5.5;0;0.2;0.38;0;9880;2495;267939;76;1.71;5.41;1.69;2.39;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIVOM DES 4 CANTONS;84;245501093;SIVOM DES 4 CANTONS;;0;;55000;87;;6510;55001261;;369075;0;0;142;4.5;5.5;0;0.2;0.38;0;9880;2495;267939;76;1.71;5.41;1.69;2.39;99;100;de floculation,décantation et filtration;32;0;0;;100;8;0;7.77;28.5;26.8;27.64;31.3;29.4;30.1;1.9;0.1;0.44;30.3;17.6;22.117;0.195;0;;;
SIVU DU HAUT ORNAIN;83;255502346;PUITS ALLUVIAL A GONDRECOURT;02662X0009;86;;55000;89;26/01/1983;0;;Gondrecourt, Abainville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1540
SIVU DU HAUT ORNAIN;83;255502346;LA MULEAU;02662X0028;86;;55000;89;26/01/1983;0;;Delouze-Rosières;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;140
SIVU DU HAUT ORNAIN;83;255502346;FORAGE DE CHASSEY-BEAUPRE;02665X0001;86;CHASSEY-BEAUPRE;55104;87;;0;;CHASSEY BEAUPRE-LUMEVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIVU DU HAUT ORNAIN;84;255502346;CHASSEY BEAUPRE-LUMEVILLE;;0;;55000;87;;175;55001048;;;;;;;;;;;;;;;;;;;;99;100;;9;1;0;;77.77777778;7.7;0;7.53;27.2;27;27.1;29.8;29;29.4;2.4;1.1;1.55;11.8;7.9;9.967;0;0;;;
SIVU DU HAUT ORNAIN;84;255502346;RESEAU FGE LA MULEAU;;0;;55000;87;;396;55001055;;;;;;;;;;;;;;;;;;;;99;100;;9;0;0;;100;7.7;0;7.6;25.6;23.3;24.5;28.7;25.3;26.975;1.1;0.5;0.73;19.4;12.8;14.95;0.018;0;;;
SIVU DU HAUT ORNAIN;84;255502346;RESEAU PUITS ALLUVIAL GONDRECOURT;;0;;55000;87;;1141;55001051;;;;;;;;;;;;;;;;;;;;99;100;;12;0;0;;100;7.6;0;7.48;25.8;24.8;25.267;27.3;26.3;26.667;0.2;0;0.04;15.6;7.6;11;0.006;0;;;
SOMMEDIEUE;83;55492;LES EPICHEES;01621X0011;85;SOMMEDIEUE;55492;88;;0;;SOMMEDIEUE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SOMMEDIEUE;84;55492;LE ROZELIER;;0;;55000;87;;1;55001826;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;100;7.7;0;7.7;20.8;20.7;20.75;23.2;22.1;22.65;0.1;0.1;0.1;6.5;4.9;5.7;0.008;0;;;
SOMMEDIEUE;84;55492;SOMMEDIEUE;;0;;55000;87;;928;55001009;;;;;;;;;;;;;;;;;;;;99;100;;10;0;0;;100;7.8;0;7.6;21.2;20.4;20.8;24.5;23.2;23.7;0.4;0;0.21;6.5;4.8;5.733;0.011;0;;;
SOMMEDIEUE;84;55492;SOMMEDIEUE;;0;;55000;87;;6;55001827;SOMMEDIEUE (écart des Epichées);;;;;;;;;;;;;;;;;;;99;100;;8;1;0;;57.14285714;7.5;0;7.5;20.8;20.8;20.8;23.2;22.5;22.85;0.3;0.3;0.3;6.5;5.3;5.9;0.008;0;;;
SORCY SAINT MARTIN-VILLE ISSEY;83;55496;PAQUIS DES SAIGNEES;02283X0022;86;;55000;89;01/03/2007;0;;SORCY SAINT MARTIN-VILLE ISSEY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1089
SORCY SAINT MARTIN-VILLE ISSEY;84;55496;SORCY SAINT MARTIN-VILLE ISSEY;;0;;55000;87;;1282;55001136;;99022;0;0;13.63;0.28;0;0;0;0.363;0;820;1435;66724;70;6.04;13.87;0.96;1.33;99;100;;10;0;0;;100;7.6;0;7.54;25.5;24.6;25;28.8;27.8;28.133;0.2;0;0.06;19.1;18.1;18.467;0.011;0;;;
STENAY;83;55502;SERINVALES;00886X0022;85;;55000;89;03/04/1989;0;;STENAY, Laneuville sur Meuse, Luzy St Martin, Mouzay;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
STENAY;83;55502;CHANVIERES DES SAULX;01112X0024;86;;55000;89;03/04/1989;0;;STENAY, Laneuville sur Meuse, Luzy St Martin, Mouzay;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4220
STENAY;83;55502;PUITS DE CERVISY;00886X0011;86;;55000;89;03/04/1989;0;;STENAY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;1;1;
STENAY;84;55502;STENAY;;0;;55000;87;;2779;55000853;;;;;;;;;;;;;;;;;;;;99;0;;19;0;0;;85;7.9;0;7.68;19.8;19.2;19.525;27;25.2;25.95;1.7;0;0.42;1.1;0.6;0.825;0.006;0;;;
SYNDICAT MIXTE GERMAIN GUERARD;83;255502510;FOSSE AUX DAMES N°1;01618X0041;86;;55000;89;11/08/1988;0;;1762 communs + 1090 rambluzin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;2227
SYNDICAT MIXTE GERMAIN GUERARD;83;255502510;FOSSE AUX DAMES N°2;01618X0042;86;;55000;89;11/08/1988;0;;1762 communs + 1090 rambluzin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SYNDICAT MIXTE GERMAIN GUERARD;83;255502510;FORAGE DE COURCELLES N°1;01913X0013;86;COURCELLES-SUR-AIRE;55128;89;27/02/1992;0;;1762 communs +2927 courcelles + St André en Barrois + Brabant en A.+Broncourt en A.+ Recicourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4477
SYNDICAT MIXTE GERMAIN GUERARD;83;255502510;FORAGE DE COURCELLES N°2;01913X0015;86;COURCELLES-SUR-AIRE;55128;89;27/02/1992;0;;1762 communs +2927 courcelles + St André en Barrois + Brabant en A.+Broncourt en A.+ Recicourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SYNDICAT MIXTE GERMAIN GUERARD;83;255502510;FORAGE DE COURCELLES N°3;01913X0024;86;COURCELLES-SUR-AIRE;55128;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SYNDICAT MIXTE GERMAIN GUERARD;84;255502510;RESEAU COURCELLES-RAMBLUZIN;;0;;55000;87;;1808;55001650;Lavoye, Autrecourt, Beaulieu, Waly, Brizeaux, Foucoucourt/Thas, Nubécourt, Evres, Seuil d'Arg., Vaubécourt;1103085;0;147706;285;0.37;5.5;0;0.082;0.38;0;7500;0;602685;69;3.32;7.29;1.66;2.24;99;100;;67;0;0;;94.44444444;7.9;0;7.65;28.3;24.8;26.62;33.2;28.2;30.45;0.4;0;0.09;30;9.7;20;0.019;0;;;
SYNDICAT MIXTE GERMAIN GUERARD;84;255502510;RESEAU FORAGES DE COURCELLES;;0;;55000;87;;2997;55001331;Beausite,Pretz, Rembercourt Somm,ELP, Courcelles/A, Chaumont/A, Raival, Belrain, Les Hauts de Chée, Seigneulles, ELB, Vavincourt, Rumont, ESD;1103085;0;147706;285;0.37;5.5;0;0.082;0.38;0;7500;0;602685;69;3.32;7.29;1.66;2.24;99;100;;30;0;0;;100;7.7;0;7.46;28.3;27.7;27.94;33.2;31.4;32.24;0.2;0;0.04;12.6;9.7;11.44;0.022;0;;;
SYNDICAT MIXTE GERMAIN GUERARD;84;255502510;RESEAU FORAGES DE RAMBLUZIN;;0;;55000;87;;1133;55001332;Ville sur Cousances, Julvécourt, Ippécourt, Souilly, Heippes, 3 Domaines, Rambluzin benoite vaux, Neuville en Verd., Courouvre;1103085;0;147706;285;0.37;5.5;0;0.082;0.38;0;7500;0;602685;69;3.32;7.29;1.66;2.24;99;100;;19;0;0;;100;7.8;0;7.6;25.7;24.8;25.3;29;28.2;28.66;0.3;0;0.06;30;26.8;28.56;0.016;0;;;
THIERVILLE SUR MEUSE;83;55505;LA RAMBAUDE;01358X0177;86;;55000;87;;0;;THIERVILLE SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THIERVILLE SUR MEUSE;84;55505;THIERVILLE SUR MEUSE;;0;;55000;87;;3065;55000863;;;;;;;;;;;;;;;;;;;;99;100;;14;0;0;;100;7.9;0;7.7;18.2;17.5;17.825;22.5;20.6;21.3;0.5;0;0.13;15.6;12.3;14.025;0.004;0;;;
THILLOMBOIS;83;55506;CORE;01914X0011;85;THILLOMBOIS;55506;87;;0;;THILLOMBOIS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
THILLOMBOIS;84;55506;THILLOMBOIS;;0;;55000;87;;37;55000865;;;;;;;;;;;;;;;;;;;;99;0;;4;0;0;;66.66666667;7.9;0;7.8;19.7;19.7;19.7;22.1;22.1;22.1;1.9;1.3;1.6;5.7;5.3;5.5;0;0;;;
THONNE LA LONG;83;55508;FONTAINE AUX LOUPS;00895X0019;86;;55000;87;;0;;THONNE-LA-LONG;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THONNE LA LONG;83;55508;SOURCE DU LAVOIR;00895X0020;85;;55000;87;;0;;THONNE-LA-LONG;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THONNE LA LONG;83;55508;SOURCE MONTRICHARD N°1;00895X0024;85;;55000;87;;0;;THONNE-LA-LONG;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THONNE LA LONG;83;55508;SOURCE MONTRICHARD N°2;00895X0025;85;;55000;87;;0;;THONNE-LA-LONG;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THONNE LA LONG;83;55508;Sources fontaines des loups et Trichard (1 et 2);X;85;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
THONNE LA LONG;84;55508;THONNE LA LONG;;0;;55000;87;;266;55000868;;;;;;;;;;;;;;;;;;;;99;100;;9;0;0;*Le captage alimentant le réseau de la commune étant situé en Belgique, sa protection est soumise à la réglementation belge.;77.77777778;8;0;7.93;15.6;15.4;15.5;17.4;16.7;17.05;0.9;0;0.3;4.6;4.1;4.35;0;0;;;
THONNE LE THIL;83;55509;FORAGE DE THONNE LE THIL;00888X0003;86;THONNE-LE-THIL;55509;87;;0;;THONNE LE THIL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
THONNE LE THIL;84;55509;THONNE LE THIL;;0;;55000;87;;282;55000871;;;;;;;;;;;;;;;;;;;;98;100;;5;0;0;;100;7.7;0;7.53;25.5;25.3;25.4;26.6;26.4;26.5;0.7;0.3;0.5;0;0;0;0;0;;;
THONNE LES PRES;83;55510;SOUS LES VIGNES N°1;00888X0033;85;;55000;89;06/03/2014;0;;THONNE LES PRES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;157
THONNE LES PRES;83;55510;SOUS LES VIGNES N°2;00888X0034;85;;55000;89;06/03/2014;0;;THONNE LES PRES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
THONNE LES PRES;84;55510;THONNE LES PRES;;0;;55000;87;;141;55001203;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;83.33333333;7.9;0;7.87;16.2;16.1;16.15;21.4;20.3;20.85;0.4;0.1;0.23;30.5;25.9;28.625;0;0;;;
THONNELLE;83;55511;LE BROSSARD;00888X0018;85;THONNELLE;55511;89;11/02/2015;0;;THONNELLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;164
THONNELLE;84;55511;THONNELLE;;0;;55000;87;;152;55001206;;0;0;0;0;0;0;0;0;0.359;0;0;0;0;0;0;0;0;0.36;99;0;;9;1;0;La protection du captage a été instaurée par arrˆté préfectoral de Déclaration d'Utilité Publique (DUP) du 11/02/2015;88.88888889;7.9;0;7.63;24.5;24.3;24.4;28.9;27.6;28.367;0.4;0.1;0.23;34.4;33.5;33.85;0.021;0;;;
TROUSSEY;83;55520;LES PATUREAUX;02284X0005;86;;55000;89;20/02/2013;0;;TROUSSEY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;440
TROUSSEY;84;55520;TROUSSEY;;0;;55000;87;;420;55000874;;26960;0;0;6.6;1.5;0;0;0;0.359;0;386;370;22590;87;1.5;9.69;1.05;1.41;99;0;;6;0;0;;100;7.7;0;7.6;24.8;24.1;24.45;28.2;26.5;27.35;0.2;0;0.07;7.4;6.6;7;0;0;;;
TROYON;83;55521;SOURCE PAQUIS;01625X0027;85;;55000;87;;0;;RANZIERES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
UGNY SUR MEUSE;84;55522;UGNY SUR MEUSE;;0;;55000;87;;99;55000788;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.6;0;7.6;21;20.7;20.85;27.9;25.4;26.65;0.3;0;0.13;18.6;11.8;14.667;0.012;0;1;;
VADONVILLE;84;55526;VADONVILLE;;0;;55000;87;;255;55000727;achat d'eau à Lérouville;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.8;0;7.8;23.3;21.3;22.3;26.6;21.9;24.25;0.1;0.1;0.1;11.6;5.5;8.55;0;0;1;;
VALBOIS;83;55530;LAVOIR (SENONVILLE);01923X0003;85;;55000;89;13/03/1986;0;;SENONVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;58
VALBOIS;83;55530;SOUS POURMONT;01923X0006;85;;55000;89;13/03/1986;0;;VARVINAY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;51
VALBOIS;83;55530;LA TOURIERE;01923X0011;85;;55000;89;13/03/1986;0;;SAVONNIERES EN WOEVRE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;15
VALBOIS;84;55530;SAVONNIERES EN WOEVRE;;0;;55000;87;;14;55000844;;;;;;;;;;;;;;;;;;;;99;0;;3;0;0;;100;7.5;0;7.45;31.7;31.7;31.7;33.6;33.6;33.6;0.3;0.2;0.25;15.4;15.4;15.4;0;0;;;
VALBOIS;84;55530;SENONVILLE;;0;;55000;87;;47;55000047;;;;;;;;;;;;;;;;;;;;99;0;;6;1;0;;83.33333333;7.9;0;7.73;14;14;14;18.1;18.1;18.1;0.2;0.1;0.13;45;33;40.8;0;0;;;
VALBOIS;84;55530;VARVINAY;;0;;55000;87;;43;55000885;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;62.5;7.5;0;7.5;28.4;28.2;28.3;31;29.1;30.05;0.4;0.3;0.35;1.5;1.3;1.4;0;0;;;
VARENNES EN ARGONNE;83;55527;LES SEPT FONTAINES;01348X0005;85;VARENNES-EN-ARGONNE;55527;87;;0;;VARENNES EN ARGONNE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VARENNES EN ARGONNE;83;55527;LES PRECIPICES;01348X0006;85;VARENNES-EN-ARGONNE;55527;87;;0;;VARENNES EN ARGONNE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VARENNES EN ARGONNE;84;55527;VARENNES EN ARGONNE;;0;;55000;87;;661;55000879;;;;;;;;;;;;;;;;;;;;99;100;;12;0;0;;100;7.1;0;6.95;4.6;1.6;3.1;6.2;3;4.6;10.3;0.6;2.1;4.8;3;3.9;0;0;;;
VAUCOULEURS;83;55533;SEPTFOND;02287X0007;85;VAUCOULEURS;55533;88;;0;;VAUCOULEURS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VAUCOULEURS;83;55533;LE MARBIER;02664X0009;86;VAUCOULEURS;55533;88;;0;;VAUCOULEURS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VAUCOULEURS;84;55533;VAUCOULEURS-RESEAU SEPTFOND;;0;;55000;87;;1849;55000888;;178982;0;0;19.2;0;5.5;0;0.11;0.363;0;5000;2000;82162;50;12.82;12.72;1.14;1.7;99;100;;15;1;0;;93.33333333;7.7;0;7.53;23.3;22.8;23.033;26.2;24;25.1;0.8;0.1;0.37;10.6;4.8;7.45;0;0;;;
VAUCOULEURS;84;55533;VAUCOULEURS-RESEAU SEPTFOND MARBIER;;0;;55000;87;;205;55001970;;178982;0;0;19.2;0;5.5;0;0.11;0.363;0;5000;2000;82162;50;12.82;12.72;1.14;1.7;99;100;;8;0;0;;87.5;7.7;0;7.57;24.1;23.7;23.867;27;25.9;26.5;0.6;0.2;0.4;16.3;12;13.767;0;0;;;
VAUQUOIS;83;55536;GEORGETTE;01355X0162;85;BOUREUILLES;55065;88;;0;;VAUQUOIS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VAUQUOIS;83;55536;CALMETTE;01355X0163;85;VAUQUOIS;55536;88;;0;;VAUQUOIS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
VAUQUOIS;84;55536;VAUQUOIS;;0;;55000;87;;22;55000886;;;;;;;;;;;;;;;;;;;;99;100;;4;0;0;;100;8;0;7.73;14.5;6;10.25;23.8;8;15.9;1.8;0.8;1.13;32.9;10.2;21.55;0;0;;;
