0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
RARECOURT;84;55416;RARECOURT;;0;;55000;87;;223;55000804;;;;;;;;;;;;;;;;;;;;99;100;;9;0;0;;85.71428571;7.9;0;7.87;25.5;25.4;25.45;30.3;28.3;29.3;0.1;0.1;0.1;43.4;25.3;30.95;0;0;;;
RECICOURT;84;55419;RECICOURT;;0;;55000;87;;168;55000808;;;;;;;;;;;;;;;;;;;;99;100;;23;0;0;;100;7.7;0;7.6;25.7;24.8;25.3;29;28.2;28.66;0;0;0;30;26.8;28.56;0.016;0;1;;
RECOURT LE CREUX;83;55420;BELLE FONTAINE;01618X0021;85;;55000;89;28/09/2006;0;;RECOURT LE CREUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;81
RECOURT LE CREUX;83;55420;LICHOT;01618X0023;85;;55000;89;28/09/2006;0;;RECOURT LE CREUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
RECOURT LE CREUX;84;55420;RECOURT LE CREUX;;0;;55000;87;;75;55001198;;;;;;;;;;;;;;;;;;;;99;0;;6;0;0;;100;7.7;0;7.6;20.8;20.3;20.55;23.7;21.4;22.55;0.3;0.2;0.23;2.6;2.2;2.4;0;0;;;
REMOIVILLE;83;55425;LE CHENOIS;01114X0014;86;REMOIVILLE;55425;87;;0;;REMOIVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
REMOIVILLE;84;55425;REMOIVILLE;;0;;55000;87;;152;55000810;;;;;;;;;;;;;;;;;;;;99;101;;8;0;0;;100;7.5;0;7.47;25.7;25.5;25.6;30.4;29.7;30.05;0.7;0.2;0.43;30;26.9;28.25;0.069;0;;;
RUPT DEVANT SAINT MIHIEL;83;55448;LE PAQUIS;01921X0015;85;RUPT-DEVANT-SAINT-MIHIEL;55448;89;05/10/2016;0;;RUPT DEVANT SAINT MIHIEL;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;60
RUPT DEVANT SAINT MIHIEL;84;55448;RUPT DEVANT SAINT MIHIEL;;0;;55000;87;;52;55000825;;6897;0;0;1.22;0;0;0;0;0.359;0;20;65;6363;93;1.01;14.48;1.25;1.61;99;100;;5;0;0;;100;7.6;0;7.5;20;19.8;19.9;21.6;21.5;21.55;0.5;0.1;0.3;4.1;2.1;3.033;0;0;;;
RUPT EN WOEVRE;83;55449;FOND DE RAIVAU N°3;01622X0103;85;;55000;89;26/09/2011;0;;RUPT EN WOEVRE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
