CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55232;117;115;;115;;514;529;VRAI;;;;;;;;;;
55236;990;974;;973;;545;621;VRAI;;;;;;;;;;
55237;248;246;;237;;855;895;VRAI;;;;;;;;;;
55239;0;0;;0;;0;0;VRAI;;;;;;;;;;
55123;782;789;;794;;460;464;VRAI;;;;;;;;;;
55241;89;90;;92;;481;481;VRAI;;;;;;;;;;
55242;130;126;;121;;927;988;VRAI;;;;;;;;;;
55243;198;199;;202;;352;366;VRAI;;;;;;;;;;
55244;255;250;;245;;426;444;VRAI;;;;;;;;;;
55245;237;234;;232;;894;926;VRAI;;;;;;;;;;
55246;134;135;;132;;152;184;VRAI;;;;;;;;;;
55247;72;77;;72;;409;451;VRAI;;;;;;;;;;
55248;373;354;x;343;;1082;1109;FAUX;x;;;;;;;;;
55250;235;229;;227;;472;481;VRAI;;;;;;;;;;
55251;101;103;;100;;557;621;VRAI;;;;;;;;;;
55252;170;161;;160;;377;386;VRAI;;;;;;;;;;
55253;905;875;;849;;381;400;VRAI;;;;;;;;;;
55255;276;265;;263;;429;440;VRAI;;;;;;;;;;
55256;152;153;;151;;459;486;VRAI;;;;;;;;;;
55257;57;58;;56;;442;467;VRAI;;;;;;;;;;
55260;80;78;;79;;420;429;VRAI;;;;;;;;;;
55261;142;140;;139;;482;493;VRAI;;;;;;;;;;
55262;281;284;;289;;377;366;VRAI;;;;;;;;;;
55263;188;194;;192;;472;477;VRAI;;;;;;;;;;
55264;322;324;;322;;383;384;VRAI;;;;;;;;;;
55265;141;137;;134;;432;459;VRAI;;;;;;;;;;
55266;83;87;;88;;460;478;VRAI;;;;;;;;;;
55267;287;286;;290;;569;560;VRAI;;;;;;;;;;
55268;744;739;;733;;443;452;VRAI;;;;;;;;;;
55269;96;99;;95;;561;600;VRAI;;;;;;;;;;
55270;30;28;;26;;651;676;VRAI;;;;;;;;;;
55271;418;417;;415;;582;611;VRAI;;;;;;;;;;
55272;474;473;;478;;695;823;VRAI;;;;;;;;;;
55274;313;315;;312;;442;444;VRAI;;;;;;;;;;
55275;117;119;;116;;376;409;VRAI;;;;;;;;;;
55276;196;190;;195;;676;670;VRAI;;;;;;;;;;
55278;202;207;;206;;763;752;VRAI;;;;;;;;;;
55279;470;456;;460;;463;478;VRAI;;;;;;;;;;
55280;71;73;;75;;444;435;VRAI;;;;;;;;;;
55281;83;88;;94;;386;374;VRAI;;;;;;;;;;
55282;104;104;;101;;920;959;VRAI;;;;;;;;;;
55284;80;81;;79;;410;436;VRAI;;;;;;;;;;
55285;176;169;;165;;585;549;VRAI;;;;;;;;;;
55286;237;234;;240;;354;365;VRAI;;;;;;;;;;
55288;1525;1516;;1512;;466;511;VRAI;;;;;;;;;;
55289;58;64;;64;;820;810;VRAI;;;;;;;;;;
55290;52;57;;58;;711;722;VRAI;;;;;;;;;;
55291;4382;4349;;4315;;969;990;VRAI;;;;;;;;;;
55292;215;216;;213;;777;793;VRAI;;;;;;;;;;
55293;189;189;;194;;559;566;VRAI;;;;;;;;;;
55295;37;42;x;44;;1445;1338;FAUX;x;;;;;;;;;
55296;545;542;;534;;422;420;VRAI;;;;;;;;;;
55297;147;140;;139;;481;472;VRAI;;;;;;;;;;
55298;317;320;;320;;585;623;VRAI;;;;;;;;;;
55299;114;120;;121;;423;434;VRAI;;;;;;;;;;
55301;149;145;;142;;557;582;VRAI;;;;;;;;;;
55300;243;239;;238;;524;606;VRAI;;;;;;;;;;
55302;1226;1211;;1203;;784;810;VRAI;;;;;;;;;;
55303;96;93;;92;;582;606;VRAI;;;;;;;;;;
55304;177;172;;169;;557;595;VRAI;;;;;;;;;;
55306;145;150;;157;;400;380;VRAI;;;;;;;;;;
55307;0;0;;0;;0;0;VRAI;;;;;;;;;;
55310;120;125;;126;;466;449;VRAI;;;;;;;;;;
55311;36;35;;34;;584;640;VRAI;;;;;;;;;;
55312;190;185;x;183;;1235;1705;FAUX;x;;;;;;;;;
55313;97;92;;83;;475;543;VRAI;;;;;;;;;;
55315;139;142;;137;;171;215;VRAI;;;;;;;;;;
55316;413;414;;412;;436;442;VRAI;;;;;;;;;;
55317;163;158;;152;;688;726;VRAI;;;;;;;;;;
55320;86;85;;83;;357;373;VRAI;;;;;;;;;;
55321;173;172;;172;;561;868;VRAI;;;;;;;;;;
55322;61;62;x;63;;1067;1059;FAUX;x;;;;;;;;;
55323;70;69;;69;;554;552;VRAI;;;;;;;;;;
55324;617;601;;572;;650;646;VRAI;;;;;;;;;;
55325;65;64;;66;;547;534;VRAI;;;;;;;;;;
55326;102;101;;108;;583;528;VRAI;;;;;;;;;;
55327;307;314;;313;;421;422;VRAI;;;;;;;;;;
55328;335;339;;338;;393;404;VRAI;;;;;;;;;;
55329;249;247;;247;;355;404;VRAI;;;;;;;;;;
55330;108;109;x;112;;1466;1420;FAUX;x;;;;;;;;;
55331;84;91;x;93;;1089;1065;FAUX;x;;;;;;;;;
55332;239;243;;248;;627;753;VRAI;;;;;;;;;;
55333;50;51;;51;;736;927;VRAI;;;;;;;;;;
55334;178;186;x;185;;1070;1023;FAUX;x;;;;;;;;;
55335;280;278;;292;;93;75;VRAI;;;;;;;;;;
55336;185;186;;183;;380;393;VRAI;;;;;;;;;;
55338;187;185;;187;;545;545;VRAI;;;;;;;;;;
55339;77;79;;82;;554;538;VRAI;;;;;;;;;;
55340;396;392;;389;;667;685;VRAI;;;;;;;;;;
55341;147;147;;147;;450;442;VRAI;;;;;;;;;;
