CodeINSEE;PopulationDGF2013;PopulationDGF2014;In‚ligibilit‚2015;PopulationDGF2015;CommunesUrbaines;PF2014;PF2015;Eligibilit‚(PF<993?);In‚ligibilit‚2016;EPCI-FP;Eau Potable;"Assainissement Collectif";"Assainissement Non Collectif";Milieux Aquatiques;"S (km2)";"Zone Rouge";Décompte
55373;79;79;;81;;428;628;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;11.3;;1
55374;87;86;;86;;513;526;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;9.0;;1
55375;72;72;;72;;628;623;VRAI;;Val Dunois;SIE Pays de Mautfaucon;CC Val Dunois;CC Val Dunois;CC Val Dunois;7.7;;1
55376;97;91;;88;;520;723;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.1;;1
55377;70;78;;86;;600;541;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;5.2;;1
55378;296;288;;282;;578;585;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;11.5;;1
55379;94;93;;93;;363;355;VRAI;;Centre Argonne;SIE Vallée de la Biesme;;SM Germain Guérard;CC Centre-Argonne;0.9;;1
55380;82;83;;82;;659;664;VRAI;;CC Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;13.4;;1
55381;200;204;;208;;343;340;VRAI;;Val des Couleurs;SIE Sainte-Libaire;;;CC Val des Couleurs;8.4;;1
55382;363;369;;371;;609;615;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;11.7;;1
55383;221;223;;225;;527;521;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;18.3;;1
55384;119;117;;118;;532;532;VRAI;;CC Aire et Meuse;SIE Vallée de l''Aire;CC Aire et Meuse;CC Aire et Meuse;SM3A;11.0;;1
55385;465;475;;486;;656;657;VRAI;;Meuse - Voie Sacrée;SIE Sivry-la-Perche;;SM Germain Guérard;SM3A;19.5;;1
55386;178;199;;204;;881;867;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;SM Madine;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;18.2;;1
55387;248;251;;244;;425;435;VRAI;;Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;;10.1;;1
55388;251;261;;280;;596;573;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;17.2;;1
55389;309;298;;294;;552;555;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;27.5;;1
55391;208;213;;211;;464;465;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;9.2;;1
55394;8;7;X;7;;2605;2601;FAUX;x;CA Verdun;SIE Gincrey-Maucourt;CA Verdun;CA Verdun;CA Verdun;18.5;;1
55395;53;51;X;53;;2558;2517;FAUX;x;Meuse - Voie Sacrée;SIE Lemmes-Osches-Vadelaincourt;;SM Germain Guérard;SM3A;9.1;;1
55396;214;217;;219;;392;383;VRAI;;Void;;;SIVOM Source Godion;CC Void;10.4;;1
55397;281;277;;272;;374;373;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;12.4;;1
55398;1027;1031;X;1039;;1677;1856;FAUX;x;Void;;;;CC Void;18.8;;1
55399;128;128;;129;;362;359;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;7.0;;1
55400;54;53;X;51;;1191;1254;FAUX;x;Etain;SIE LAFFON DE LADEBAT;SIA de l''Orne;CC Pays d''Etain;CC Etain;8.5;;1
55401;413;412;;414;;497;500;VRAI;;Saint-Mihiel;SIE Chauvoncourt - Les Paroches;;CC Sammiellois;CC Sammiellois;10.2;;1
55403;77;74;;72;;501;460;VRAI;;Damvillers;SM Mangiennes;;SM Mangiennes;CC Région de Damvillers;4.9;;1
55404;292;304;;327;;501;466;VRAI;;CC Aire et Meuse;SIE Vallée de l''Aire;CC Aire et Meuse;CC Aire et Meuse;SM3A;17.6;;1
55405;238;249;;262;;426;413;VRAI;;Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;;15.4;;1
55406;96;100;;106;;500;478;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.2;;1
55407;151;150;;146;;492;497;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;3.6;;1
55408;248;242;;242;;458;457;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;11.8;;1
55409;70;66;;67;;633;632;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;9.9;;1
55410;179;176;;171;;457;456;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;12.5;;1
55411;99;102;;101;;543;548;VRAI;;Meuse - Voie Sacrée;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;CC Meuse - Voie Sacrée;18.4;;1
55412;198;201;;204;;433;429;VRAI;;Côtes de Meuse Woëvre;SIE Trey-Saint-Jean (54);;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;14.9;;1
55414;215;213;;215;;561;576;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;10.0;;1
55415;86;87;;89;;418;438;VRAI;;Saint-Mihiel;;;CC Sammiellois;CC Sammiellois;14.1;;1
55416;246;242;;238;;503;511;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;15.4;;1
55419;181;185;;183;;412;418;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;6.8;;1
55420;79;79;;79;;530;519;VRAI;;Meuse - Voie Sacrée;;;SM Germain Guérard;CC Meuse - Voie Sacrée;14.4;;1
55421;77;76;X;76;;2368;2381;FAUX;x;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;9.4;;1
55422;48;49;;50;;455;416;VRAI;;Montfaucon-Varennes;SIE du BREUIL;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;3.8;;1
55423;345;348;;353;;514;520;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;22.3;;1
55424;69;70;;72;;602;590;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;2.7;;1
