Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55087;94;92;x;88;;62 779;74913;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;SIE d''Echenay (52);;;CC Val d''Ornois Haute Saulx et Perthois;18.4;;1
55088;155;157;;153;;447;499;VRAI;;Commercy - Void - Vaucouleurs;SIE Sainte-Libaire;;;Commercy - Void - Vaucouleurs;6.5;;1
55089;103;104;;105;;403;405;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;4.3;;1
55093;330;330;;328;;551;555;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;26.7;;1
55094;581;582;;581;;553;562;VRAI;;CC Pays d''Etain;SIE LAFFON DE LADEBAT;SIA de l''Orne;CC Pays d''Etain;CC Pays d''Etain;12.4;;1
55095;137;135;;138;;485;474;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;5.3;;1
55096;116;115;;119;;601;577;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;11.5;;1
55097;344;340;;340;;454;429;VRAI;;Commercy - Void - Vaucouleurs;;SIVU des 7 Ponts;;Commercy - Void - Vaucouleurs;8.1;;1
55099;129;133;;137;;572;877;VRAI;;CA Verdun;SIE du BREUIL;CA Verdun;CA Verdun;CA Verdun;12;;1
55100;116;118;;120;;437;444;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;5.9;;1
55358;222;211;;208;;609;726;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;22.4;;1
55101;312;318;;327;;680;710;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;12.8;;1
55102;582;586;;581;;734;1068;FAUX;T;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;12.6;;1
55103;29;26;;25;;844;865;VRAI;;Argonne Meuse;SIE Côte Badard;;CC Argonne Meuse;SM3A;4.4;;1
55104;119;117;;111;;555;565;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;14.1;;1
55105;186;190;;192;;457;463;VRAI;;CC Pays d''Etain;SIE Chatillon-Blanzée;;CC Pays d''Etain;CC Pays d''Etain;10.7;;1
55106;176;178;;179;;511;809;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;10.4;;1
55107;56;58;;57;;468;487;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;5.4;;1
55108;170;164;;161;;487;485;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;9.9;;1
55109;287;285;;279;;373;377;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;8.8;;1
55110;271;266;;265;;573;573;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;10.8;;1
55111;500;490;;485;;958;998;VRAI;;CC Sammiellois;SIE Chauvoncourt - Les Paroches;;CC Sammiellois;CC Sammiellois;10;;1
55113;140;139;;133;;518;548;VRAI;;Argonne Meuse;;;CC Argonne Meuse;SM3A;14.8;;1
